ID Number,Project Name,Year Reported,"Brief Habitat Description (sources of impacts, significant features, site uses, etc.)",Project Description,GPRA Habitat Type (more complex),Habitat Type (basic ESA categories)(existing databases),HMPU Habitat Type for Restoration,Restoration Technique (GPRA dropdown menu),GPRA Activity (slightly more complex),Basic Activity (Enhance/Rest),"Previously Reported (same location, different technique) (Yes/No dropdown menu)?",Acres,Linear Miles,Linear Feet,"Latitude (decimal degrees, minimum 3 decimals)","Longitude (decimal degrees, minimum 3 decimals)","Lead Partner/Implementor (please spell out everything, no acronyms)","Other Partners (please spell out everything, no acronyms)",Site Ownership,Total Project Cost (best guess),Donated Land at no cost (Yes/No dropdown menu),Primary Funding Source,Project Benefits (dropdown menu),Photo 1 (Before) Credit,Photo 1 (Before) Caption,Photo 2 (During) Credit,Photo 2 (During) Caption,Photo 3 (After) Credit,Photo 3 (After) Caption,Project Completion Date (month/year) (start date prior to 2020),TBEP Notes,Oyster?
R-029,Terra Ceia Causeway,1994,,estuarine wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,2.2,,,27.56873,-82.57104,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-030,Ballast Point,1995,,restoration of estuarine wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,0.5,,,27.88898,-82.48064,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-031,Cargill South Parcel,1995,,"Coastal Habitat Restoration, Brazilian Pepper Removal, Re-established south channel of Alafia River",,Estuarine,,"Canal Dredging, Planting of Spartina alterniflora",,Restoration,,50,,,27.84223,-82.39007,FDEP,,,,,,,,,,,,,,,
R-032,Clam Bayou (Osgood Point): Phase 1,1995,,"estuarine, open water, and wetlands",,Estuarine,,"Substrate modification, planting of Spartina",,Restoration,,10,,,27.73806,-82.69146,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-033,Joe's Creek: Phase 1A,1995,,estuarine and low salinity wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,0.5,,,27.83192,-82.7544,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-034,Jungle Lake Restoration,1995,,"Re-countouring of area, Exotic removal, planting of native species",,Freshwater,,,,Restoration,,35,,,27.79701,-82.74555,City of St. Petersburg,,,,,,,,,,,,,,,
R-035,Lake Tarpon Outfall Canal: Phase 2,1995,,estuarine/low salinity wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,1,,,28.05315,-82.70892,SWFWMD-SWIM,Volunteers,,,,,,,,,,,,,,
R-036,Long/Cross Bayou,1995,,estuarine wetlands - low salinity,,Estuarine,,"estuarine wetlands - low salinity, Spartina alterniflora",,Restoration,,2,,,27.8305,-82.75461,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-037,Allen's Creek at St. Paul's Drive,1996,,estuarine wetlands - low salinity,,Estuarine,,"Substrate modification, planting",,Restoration,,1,,,27.93158,-82.75393,SWFWMD-SWIM,Pinellas County,,40000,,,,,,,,,,,,
R-038,Cockroach Bay: Phase 1B2,1996,,tidal creek system with marshes,,Estuarine,,"Substrate modification, planting",,Restoration,,18.5,,,27.6846,-82.49936,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-037,Abercrombie Park,1997,,"Exotic removal, planting of native species",,Upland,,,,Enhancement,,11,,,27.80624,-82.75694,City of St. Petersburg Parks Department,,,,,,,,,,,,,,,
LS-005,Epps Park Shoreline Restoration,1997, ,"Hillsborough River shoreline protection and restoration, planting, rip rap placement",,Freshwater,,,,Restoration,,,,250,28.00542,-82.46778,City of Tampa,SWFWMD,,0,, ,Freshwater wetlands,,,,,,, ,,
R-039,Cockroach Bay: Phase 1A1,1997,,"create estuarine open water channels, lagoon, marshes, and some uplands",,Mix (estuarine and upland),,"Substrate modification, planting",,Restoration,,37.2,,,27.69246,-82.51073,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-040,Cockroach Bay: Phase 1B,1997,,freshwater and low salinity wetlands that also provide stormwater treatment,,Mix (estuarine and freshwater),,"Substrate modification, planting",,Restoration,,24.5,,,27.68614,-82.49926,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-041,Del Oro Park,1997,,low salinity esturine wetlands,,Estuarine,,"Excavation, planting",,Restoration,,1,,,27.97044,-82.70532,SWFWMD-SWIM,City of Clearwater,,30000,,,,,,,,,,,,
R-042,Epps Park Shoreline Restoration,1997,,"Hillsborough River shoreline protection and restoration, planting, rip rap placement, associated with living shoreline project",,Freshwater,,Freshwater wetlands,,Restoration,,1,,,28.00504,-82.4677,City of Tampa,SWFWMD,,,,,,,,,,,,,,
R-043,MacDill Air Force Base: Phase 1B,1997,,"low salinity, estuarine wetlands, open water and uplands",,Mix (estuarine and upland),,"Substrate modification, planting",,Restoration,,31.3,,,27.82976,-82.47332,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-038,Skyway Jacks,1998,,planting of Spartina alterniflora,,Estuarine,,planting of Spartina alterniflora,,Enhancement,,1,,,27.70596,-82.68081,FDNR,,,,,,,,,,,,,,,
R-044,Bartlett Park,1998,,low salinity tidal creek and wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,4,,,27.74929,-82.63929,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-045,Cypress Point Park Restoration,1998,,"Created tidal lagoons, replanting shoreline",,Estuarine,,,,Restoration,,3,,,27.95087,-82.5418,City of Tampa,SWFWMD,,,,,,,,,,,,,,
R-046,Emerson Point: Phase 1,1998,,low salinity estuarine wetlands and estuarine wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,25,,,27.53391,-82.63222,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-047,Mangrove Bay: Phase 3,1998,,estuarine low salinity open water and wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,21,,,27.83535,-82.6228,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-048,Mobbly Bayou: Phase 1,1998,,low salinity estuarine open water and wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,14,,,28.02614,-82.66208,SWFWMD-SWIM,City of Oldsmar,,200000,,,,,,,,,,,,
R-049,Weedon Island,1998,,planting of Spartina alterniflora,,Estuarine,,,,Restoration,,0.1,,,27.84698,-82.60949,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-039,Coquina Key Park,1999,,Exotic removal,,Estuarine,,,,Enhancement,,1,,,27.73741,-82.63113,City of St. Petersburg Parks Department,,,,,,,,,,,,,,,
E-040,Desoto Park And Trailer Park In NW McKay Bay,1999,,primarily a stormwater improvement project but some native plants installed,,Estuarine,,,,Enhancement,,1,,,27.94755,-82.42834,City of Tampa,SWFWMD,,,,,,,,,,,,,,
E-041,Rocky/Brushy (Sheldon Road off Sheldon north of Fountain Avenue),1999,,Establishment of freshwater forested wetland,,Freshwater,,Control of exotics/invasive plants as Maintenance,,Enhancement,,0.955,,,28.01178,-82.58063,Hillsborough County,,,,,,,,,,,,,,,
E-042,Tampa Bay Oil Spill - Boca Ciega Bay (Bird Island Salt Marsh Planting),1999,,marsh plants installed,,Estuarine,,,,Enhancement,,0.1,,,27.7965,-82.7665,NOAA,,,,,,,,,,,,,,,
E-043,Tampa Bay Oil Spill - Boca Ciega Bay (Cross Bayou Mangrove Restoration),1999,,marsh plants installed,,Estuarine,,,,Enhancement,,4.8,,,27.835,-82.76,NOAA,,,,,,,,,,,,,,,
E-044,Tampa Bay Oil Spill - Boca Ciega Bay (Turtle Crawl Point Saltmarsh Planting),1999,,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,1.5,,,27.7997,-82.7712,NOAA,,,,,,,,,,,,,,,
LS-006,Rivercrest Park,1999, ,Living shoreline/breakwater with native vegetation to protect shoreline,,Estuarine,,,,Restoration,,,,800,27.99616,-82.46534,City of Tampa, ,,0,, , ,,,,,,, ,,
R-050,Boca Ciega: Phase 3,1999,,estuarine and freshwater wetlands ,,Mix (estuarine and freshwater),,"Excavation, planting",,Restoration,,2.5,,,27.8325,-82.81256,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-051,Braden River: Phase 2 (SR70),1999,,estuarine wetlands - low salinity,,Estuarine,,"Excavation, planting",,Restoration,,10,,,27.45025,-82.49113,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-052,Cockroach Bay: Phase 1 Uplands,1999,,coastal uplands - mixed pine and harwood forest,,Upland,,Planting,,Restoration,,45,,,27.68937,-82.50339,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-053,Cockroach Bay: Phase 1A2,1999,,"create estuarine open water channels, lagoon, marshes, and some uplands",,Mix (estuarine and upland),,"Substrate modification, planting",,Restoration,,55.8,,,27.69444,-82.50737,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-054,Coopers Point,1999,,estuarine open water and wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,10,,,27.96861,-82.69359,SWFWMD-SWIM,City of Clearwater,,200000,,,,,,,,,,,,
R-055,Emerson Point: Phase 2,1999,,low salinity estuarine wetlands and estuarine wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,5,,,27.53394,-82.62577,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-056,Lake Thonotosassa Project,1999,,"Excavation, Planting of native species",,Freshwater,,"Excavation, Planting of native species",,Restoration,,80,,,28.054,-82.26881,SWFWMD,"EPCHC, FDEP",,,,,,,,,,,,,,
R-057,MacDill Air Force Base: Phase 2,1999,,"low salinity, estuarine wetlands, open water and uplands",,Mix (estuarine and upland),,"Substrate modification, planting",,Restoration,,32.6,,,27.82221,-82.47964,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-058,South Skyway,1999,,estuarine wetlands,,Estuarine,,"Substrate modification, planting",,Restoration,,3,,,27.58402,-82.59946,SWFWMD-SWIM,,,,,,,,,,,,,,,
E-045,Peri Island Salt Marsh Restoration,2000,,marsh plants installed,,Estuarine,,,,Enhancement,,1,,,27.8108,-82.7954,Tampa Bay Watch,,,,,,,,,,,,,,,
E-046,Spoil Island Boca Ciega Bay Salt Marsh Restoration,2000,,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,1,,,27.816,-82.7981,Tampa Bay Watch,,,,,,,,,,,,,,,
R-059,Braden River: Phase 1 (SR64),2000,,estuarine wetlands - low salinity,,Estuarine,,"Excavation, planting",,Restoration,,10,,,27.49809,-82.52193,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-060,Clam Bayou (Osgood Point): Phase 2,2000,,estuarine open water and wetlands and some low salinity,,Estuarine,,"Substrate modification, planting of Spartina",,Restoration,,10,,,27.74507,-82.68789,SWFWMD-SWIM,,,,,,,,,,,,,,,
R-061,Palmetto Estuary,2000,,"estuarine wetlands, low salinity wetlands and uplands",,Mix (estuarine and upland),,"Substrate modification, planting",,Restoration,,26,,,27.51161,-82.56415,SWFWMD-SWIM,Ecosphere Restoration Institute,,,,,,,,,,,,,,
E-047,Fort Brooke Salt Marsh Restoration,2001,,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,0.5,,,27.9417,-82.4583,City of Tampa,"NOAA, TBW, SWFWMD-SWIM",,,,,,,,,,,,,,
E-048,Grandview Park,2001,,Exotic removal,,Estuarine,,,,Enhancement,,2.5,,,27.73646,-82.64011,City of St. Petersburg Parks Department,,,,,,,,,,,,,,,
E-049,MacDill Airforce Base Salt Marsh Restoration,2001,,Planting of Spartina alterniflora,,Estuarine,,,,Enhancement,,3,,,27.8215,-82.4747,Tampa Bay Watch,,,,,,,,,,,,,,,
R-062,Davis Tract Salt Marsh Restoration,2001,,regrading of slopes and marsh planting,,Estuarine,,,,Restoration,,7,,,27.8346,-82.3957,Tampa Bay Watch,,,,,,,,,,,,,,,
R-063,Fort Brooke Park Shoreline Restoration,2001,,"dock and warf removal, shoreline restoration revegetated with wetland and coastal habitat plants",,Estuarine,,,,Restoration,,1,,,27.94722,-82.45833,City of Tampa,SWFWMD,,,,,,,,,,,,,,
R-064,Red Maple Swamp (Allen's Creek),2001,,Excavation and re-establishment of marsh,,Freshwater,,"Excavation, Planting of native species",,Restoration,,8.2,,,27.95023,-82.75122,City of Clearwater,"SWIM, PCDEM",,,,,,,,,,,,,,
