View Detail,View Photos,Map,Federal Fiscal Year,Region,State Code,NEP Name,Project Name,Project Description,Habitat Description,Habitat Type,Acres,Miles,Feet,Restoration Technique,Donated Land,Data Unavailable,EPA Section 320,Total Project Cost,Project Benefits,Activity Name,Lead Implementer,Partners,Latitude,Longitude,Main Funding Source,Site Owner,Last Updated Date,NEP Comments,HQ Comments,HQ Status,Region Status,Total Cost,Author,Submitter Email,HMPU habitat 1,HMPU habitat 2,Count
22012,22012,"<a href=""http://google.com/maps/place/27.7104+-82.68185/@27.7104,-82.6818515z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Maximo Park Invasive Plant Removal,"Chemical and mechanical removal of 24 acres of invasive species including, Brazilian pepper and carrot wood.  Project benefits include increase protection/improved habitat for birds and other wildlife.",Coastal upland habitat with mixed use activities.,Forest/Woodland,24.0,,,Invasives Control/Removal - Vegetation,,,0,152000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,City of St. Petersburg,,27.7104,-82.6819,City of St. Petersburg,City of St. Petersburg,19-OCT-22 04.20.00.000000000 PM -04:00,Photo taken during the project was not provided. (9/1/2022 2:13:47 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
22009,22009,"<a href=""http://google.com/maps/place/27.58105+-82.57279/@27.58105,-82.5727915z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Terra Ceia Preserve State Park Restoration,"This project included removal of invasive animals (1 feral hog) to restore a 1:1 ratio hogs to acres, chemical treatment of 115.175 acres of invasive vegetation within 907.74 gross acres of park property coupled with planting of native vegetation and trail maintenance, and and 125 acres of prescribed fire to reduce fuel load and restore species diversity.","Terra Ceia Preserve State Park encompasses 1,948 acres and is managed by the Florida Department of Environmental Protection. It has a mosaic of habitats including tidal wetlands, submerged seagrasses, oysters, forested wetlands, and coastal hammocks/ forested woodlands.",Forest/Woodland,934.0,,,Prescribed Burn,,Y,0,0,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,27.5811,-82.5728,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,04-OCT-22 03.37.00.000000000 PM -04:00,Photos not provided. (9/1/2022 1:18:17 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,33
22007,22007,"<a href=""http://google.com/maps/place/27.47705+-82.34724/@27.47705,-82.3472415z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Lake Manatee State Park Invasive Vegetation Control,"This project included treatment of 24.425 acres of vegetation within 209.95 gross acres of park property and trail maintenance. Project benefits include improvement, protection and creation of habitat for birds and other wildlife.",This is a habitat restoration project at the 548-acre Lake Manatee State Park managed by the Florida Department of Environmental Protection. The habitat is predominantly forested woodland/ upland.,Forest/Woodland,209.0,,,Invasives Control/Removal - Vegetation,,Y,0,,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,27.4771,-82.3472,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,04-OCT-22 03.54.00.000000000 PM -04:00,Photos not provided. (9/1/2022 12:56:00 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
22005,22005,"<a href=""http://google.com/maps/place/27.52301+-82.52646/@27.52301,-82.5264615z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Gamble Plantation Historic State Park Invasive Vegetation Control,This is a habitat restoration project at the 33 acre Gamble Plantation Historic State Park managed by the Florida Department of Environmental Protection. This project included treatment of 6 acres of invasive vegetation within 11 gross acres of park property.  Project benefits include increase protection/improved habitat for birds and other wildlife.,Forested Woodland Upland Habitat,Forest/Woodland,6.0,,,Invasives Control/Removal - Vegetation,,Y,0,0,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,27.5230,-82.5265,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,19-OCT-22 04.19.00.000000000 PM -04:00,Photos not provided. (9/1/2022 12:30:04 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,134
22111,22111,"<a href=""http://google.com/maps/place/28.03092+-82.66969/@28.03092,-82.6696915z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Save Our Bay Program - Vertical Oyster Gardens,"Installation of about 40 vertical oyster gardens (VOGs) on the pier at R.E. Olds Park. Educational signage, webpage, and event were held to gain support for community. VOGs were constructed and distributed to private dock owners to install on their own as well. In addition, VOGs were installed on private docks in the city. Twenty VOGs were installed by City staff. An unknown number have been installed by private dock owners. Project benefits include water quality improvements and increase/protect habitat for fish/shellfish.",Shoreline park on Safety Harbor in Old Tampa Bay. Shoreline a mix of mangrove and sand. Pier extends out into the bay about 500 feet with a sandy bottom with very little seagrass or vegetation.,Estuarine Shoreline,,,781.5,Oyster Gardening,,,0,400,Improve or protect water quality:Protect/improve/provide habitat for fish/shellfish,Restoration,City of Oldsmar,,28.0309,-82.6697,City of Oldsmar,City of Oldsmar,19-OCT-22 03.55.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Oyster Bars,Intertidal Estuarine (Other),2
22102,22102,"<a href=""http://google.com/maps/place/27.641+-82.742/@27.641,-82.74215z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Fort De Soto Park Restoration,"Invasive and nuisance species chemically treated with glyphosate and triclopyr. Re-treatment in some areas currently ongoing. Species treated included: rosary pea, air potato, Brazilian pepper, Australian almond tree, punk tree, cogon grass, Guinea grass, lead tree, castor bean, java plum, carrotwood, lantana, simpleleaf chastetree, scaevola+ All hardwoods cut and stump treated with triclopyr while all others were foliar treated with glyphosate. In addition, 300 trees and shrubs were planted in a disturbed fill area formerly used as a dump site, 2,000 sea oats were planted along the north beach, and 18 maritime hammock tree species were planted youth camp site.","Mosaic of scrub, beach dune, coastal grassland, maritime hammock, shell mound, mesic flatwoods, and tidal swamp. Public recreation permitted.",Beach,575.0,,,Planting,,,735,55300,Erosion control:Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Pinellas County Parks and Conservation Resources,,27.6410,-82.7420,Pinellas County Operating and Florida Fish and Wildlife Conservation Herbicide Bank,Pinellas County,04-OCT-22 03.21.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Coastal Uplands,,2
21991,21991,"<a href=""http://google.com/maps/place/27.83178+-82.47593/@27.83178,-82.4759315z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,National Public Lands Day,The planting of 450 native pollinator plants for National Public Lands Day in an area of poor habitat quality by the campground and golf course.  These plantings will help enhance pollinator habitat and stimulate native plant growth.  Project benefits include improve/protect habitat for birds and other wildlife.,Previously disturbed area with poor species composition and low habitat complexity.,Field/Meadow,0.3,,,Planting,,,0,4165,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Restoration,United States Air Force,,27.8318,-82.4759,National Public Lands Day DoD Award,United States Air Force,19-OCT-22 04.01.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sscolaro@tbep.org,Uplands (Non-coastal),,9
22011,22011,"<a href=""http://google.com/maps/place/27.74089+-82.67413/@27.74089,-82.6741315z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Hammock Hall Pond Restoration,"Eleven volunteers planted of native plants to prevent erosion and enhance the pond. Species planted included:13x 1g Blue Flag Iris, 6x 1g Lizard's Tail, 5x 3g Pickerelweed, 9-3g Canna Lily, 4-Blueflower Eryngium, 8-1g Giant Leather Fern, and 8-1g Cardinal Flower. In addition, volunteers removed 125 pounds of invasive plant species.  Project benefits include erosion control.",Urban pond with extensive erosion,Lake/Pond,,,150.0,Planting,,,0,500,Erosion control,Restoration,Keep Pinellas Beautiful,,27.7409,-82.6741,Keep Pinellas Beautiful,City of St. Petersburg,19-OCT-22 04.34.00.000000000 PM -04:00,Photos for this project not provided (9/1/2022 1:42:23 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Non-forested Freshwater Wetlands,,3
22006,22006,"<a href=""http://google.com/maps/place/28.14342+-82.22679/@28.14342,-82.2267915z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Hillsborough River State Park Restoration Efforts,"This project included removal of 3 acres of hardwood and planting 1000 slash pine trees, removal of invasive animals (94 feral hogs) to restore a 1:1 ratio hogs to acres, chemical  treatment of 35.87 acres of invasive vegetation within 214 gross acres of park property, and 5 miles of trail maintenance, and 50 acres of prescribed fire to reduce fuel load and restore species diversity.","Hillsborough River State Park is a 3,319 acre state park. It has a mosaic of habitats including forested woodlands with Sabal palmettos, oaks, and birch, and cypress.",Forest/Woodland,361.0,,,Prescribed Burn,,Y,0,,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for other wildlife,Maintenance,Florida Department of Environmental Protection - Division of Recreation and Parks,,28.1434,-82.2268,Florida Department of Environmental Protection - Division of Recreation and Parks,State of Florida,04-OCT-22 03.49.00.000000000 PM -04:00,Photos not provided. (9/1/2022 12:43:24 pm),,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Uplands (Non-coastal),,33
21995,21995,"<a href=""http://google.com/maps/place/27.84352+-82.47903/@27.84352,-82.4790315z  target=""_blank"">Google Map</a>",2022,Region 4,FL,Tampa Bay Estuary Program,Aquatic Invasive Species Treatment,"Chemically treated invasive species in human altered Surface Water Improvement and Management lake, ponds, and canals. Project benefits include increase protection/improved habitat for birds, wildlife, fish and shellfish.","Human altered Surface Water Improvement and Management lake, ponds, and canals.",Lake/Pond,20.0,,,Invasives Control/Removal - Vegetation,,,0,40000,Protect/improve/provide habitat for birds:Protect/improve/provide habitat for fish/shellfish:Protect/improve/provide habitat for other wildlife,Maintenance,United States Air Force,,27.8435,-82.4790,United States Air Force,United States Air Force,19-OCT-22 04.32.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XSSCOLAR,sheila@tbep.org,Non-forested Freshwater Wetlands,,8
