View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
,1992,Region 4,FL,Tampa Bay Estuary Program,Lowry Park: Shoreline,Freshwater and low salinity wetlands,,,,,,,18000,"Substrate modification, planting",,SWFWMD-SWIM,"FDEP, City of Tampa",,,,,,,,,,,,,,,28.01443,-82.46453,400,LS-002,Estuarine,Enhancement,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Lowry Park: Spring,Freshwater and low salinity wetlands,,,"Substrate modification, planting",,,,18000,,,SWFWMD-SWIM,"FDEP, City of Tampa",,,,,,,,,,,,,0.5,,28.01475,-82.4646,,R-017,Estuarine,Restoration,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Mangrove Bay Pit Filling,filling to shallow depth from 27 feet to 10 feet,,,,,,,,,,FDEP,,,,,,,,,,,,,,20,,27.84259,-82.62981,,R-018,Estuarine,Restoration,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Mangrove Bay: Phase 2,"estuarine wetlands, artificial reefs",,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,0.5,,27.83979,-82.62582,,R-019,Estuarine,Restoration,,,,,,,
,1992,Region 4,FL,Tampa Bay Estuary Program,Port Manatee Parcel Restoration Project,"Marsh and mangrove restoration, exotic plant removal, upland restoration",,,Exotic removal and restoration,,,,,,,TECO,,,,,,,,,,,,,,700,,27.63472,-82.57302,,E-036,"Mix (estuarine, freshwater, and upland)",Enhancement,,,,,,,
,1993,Region 4,FL,Tampa Bay Estuary Program,Boca Ciega: Phase 2,estuarine and freshwater wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,1,,27.8325,-82.81256,,R-020,Mix (estuarine and freshwater),Restoration,,,,,,,
,1993,Region 4,FL,Tampa Bay Estuary Program,Freeman Park,"Create tidal lagoon, enhanced hardened shoreline, Plantings of Spartina alterniflora, exotic removal",,,"Excavation, planting of Spartina alterniflora, Exotic removal",,,,,,,BAEAT,,,,,,,,,,,,,,7,,27.89221,-82.5403,,R-021,Estuarine,Restoration,,,,,,,
,1993,Region 4,FL,Tampa Bay Estuary Program,Hamilton Creek,Stream restoration and planting,,,,,,,0,Stream restoration and planting,,SWFWMD-SWIM,,,,,,,,,,,,,,,,28.01371,-82.46536,250,LS-003,Freshwater,Enhancement,,,,,,,
,1993,Region 4,FL,Tampa Bay Estuary Program,Peanut Lake,"estuarine, open water, and wetlands",,,"Substrate modification, planting",,,,,,,FDEP,,,,,,,,,,,,,,10,,27.62297,-82.55627,,R-022,Estuarine,Restoration,,,,,,,
,1993,Region 4,FL,Tampa Bay Estuary Program,Picnic Island,Living shoreline associated with larger wetland restoration effort,,,,,,,0,"Substrate modification, planting",,SWFWMD-SWIM,,,,,,,,,,,,,,,,27.85732,-82.55182,300,LS-004,Estuarine,Restoration,,,,,,,
,1993,Region 4,FL,Tampa Bay Estuary Program,Picnic Island,Estuarine open water and wetlands and uplands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,8,,27.85288,-82.5527,,R-023,Estuarine,Restoration,,,,,,,
,1994,Region 4,FL,Tampa Bay Estuary Program,Al Lopez Park,planting of freshwater wetlands,,,planting of freshwater wetlands,,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,2,,27.99093,-82.50309,,R-024,Freshwater,Restoration,,,,,,,
,1994,Region 4,FL,Tampa Bay Estuary Program,Harbor Palms Park,low salinity estuarine wetlands and open water and stormwater polishing,,,"Substrate modification, planting",,,,118541,,,SWFWMD-SWIM,City of Oldsmar,,,,,,,,,,,,,4.4,,28.03928,-82.69337,,R-025,Estuarine,Restoration,,,,,,,
,1994,Region 4,FL,Tampa Bay Estuary Program,Howard Frankland East,estuarine wetlands and fringing uplands,,,,,,,60000,,,SWFWMD-SWIM,FDOT,,,,,,,,,,,,,3,,27.94214,-82.54567,,R-026,Estuarine,Restoration,,,,,,,
,1994,Region 4,FL,Tampa Bay Estuary Program,Jungle Prada Park,estuarine wetlands and open water habitat,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,1,,27.7874,-82.75363,,R-027,Estuarine,Restoration,,,,,,,
,1994,Region 4,FL,Tampa Bay Estuary Program,MacDill Air Force Base: Phase 1A,"low salinity, estuarine wetlands, open water and uplands",,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,3,,27.82976,-82.47662,,R-028,Mix (estuarine and upland),Restoration,,,,,,,
,1994,Region 4,FL,Tampa Bay Estuary Program,Terra Ceia Causeway,estuarine wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,2.2,,27.56873,-82.57104,,R-029,Estuarine,Restoration,,,,,,,
,1995,Region 4,FL,Tampa Bay Estuary Program,Ballast Point,restoration of estuarine wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,0.5,,27.88898,-82.48064,,R-030,Estuarine,Restoration,,,,,,,
,1995,Region 4,FL,Tampa Bay Estuary Program,Cargill South Parcel,"Coastal Habitat Restoration, Brazilian Pepper Removal, Re-established south channel of Alafia River",,,"Canal Dredging, Planting of Spartina alterniflora",,,,,,,FDEP,,,,,,,,,,,,,,50,,27.84223,-82.39007,,R-031,Estuarine,Restoration,,,,,,,
,1995,Region 4,FL,Tampa Bay Estuary Program,Clam Bayou (Osgood Point): Phase 1,"estuarine, open water, and wetlands",,,"Substrate modification, planting of Spartina",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,10,,27.73806,-82.69146,,R-032,Estuarine,Restoration,,,,,,,
,1995,Region 4,FL,Tampa Bay Estuary Program,Joe's Creek: Phase 1A,estuarine and low salinity wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,0.5,,27.83192,-82.7544,,R-033,Estuarine,Restoration,,,,,,,
,1995,Region 4,FL,Tampa Bay Estuary Program,Jungle Lake Restoration,"Re-countouring of area, Exotic removal, planting of native species",,,,,,,,,,City of St. Petersburg,,,,,,,,,,,,,,35,,27.79701,-82.74555,,R-034,Freshwater,Restoration,,,,,,,
,1995,Region 4,FL,Tampa Bay Estuary Program,Lake Tarpon Outfall Canal: Phase 2,estuarine/low salinity wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,Volunteers,,,,,,,,,,,,,1,,28.05315,-82.70892,,R-035,Estuarine,Restoration,,,,,,,
,1995,Region 4,FL,Tampa Bay Estuary Program,Long/Cross Bayou,estuarine wetlands - low salinity,,,"estuarine wetlands - low salinity, Spartina alterniflora",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,2,,27.8305,-82.75461,,R-036,Estuarine,Restoration,,,,,,,
,1996,Region 4,FL,Tampa Bay Estuary Program,Allen's Creek at St. Paul's Drive,estuarine wetlands - low salinity,,,"Substrate modification, planting",,,,40000,,,SWFWMD-SWIM,Pinellas County,,,,,,,,,,,,,1,,27.93158,-82.75393,,R-037,Estuarine,Restoration,,,,,,,
,1996,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay: Phase 1B2,tidal creek system with marshes,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,18.5,,27.6846,-82.49936,,R-038,Estuarine,Restoration,,,,,,,
,1997,Region 4,FL,Tampa Bay Estuary Program,Abercrombie Park,"Exotic removal, planting of native species",,,,,,,,,,City of St. Petersburg Parks Department,,,,,,,,,,,,,,11,,27.80624,-82.75694,,E-037,Upland,Enhancement,,,,,,,
,1997,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay: Phase 1A1,"create estuarine open water channels, lagoon, marshes, and some uplands",,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,37.2,,27.69246,-82.51073,,R-039,Mix (estuarine and upland),Restoration,,,,,,,
,1997,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay: Phase 1B,freshwater and low salinity wetlands that also provide stormwater treatment,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,24.5,,27.68614,-82.49926,,R-040,Mix (estuarine and freshwater),Restoration,,,,,,,
,1997,Region 4,FL,Tampa Bay Estuary Program,Del Oro Park,low salinity esturine wetlands,,,"Excavation, planting",,,,30000,,,SWFWMD-SWIM,City of Clearwater,,,,,,,,,,,,,1,,27.97044,-82.70532,,R-041,Estuarine,Restoration,,,,,,,
,1997,Region 4,FL,Tampa Bay Estuary Program,Epps Park Shoreline Restoration,"Hillsborough River shoreline protection and restoration, planting, rip rap placement",,,,,,,0,Freshwater wetlands,,City of Tampa,SWFWMD,,,,,,,,,,,,,,,28.00542,-82.46778,250,LS-005,Freshwater,Restoration,,,,,,,
,1997,Region 4,FL,Tampa Bay Estuary Program,Epps Park Shoreline Restoration,"Hillsborough River shoreline protection and restoration, planting, rip rap placement, associated with living shoreline project",,,Freshwater wetlands,,,,,,,City of Tampa,SWFWMD,,,,,,,,,,,,,1,,28.00504,-82.4677,,R-042,Freshwater,Restoration,,,,,,,
,1997,Region 4,FL,Tampa Bay Estuary Program,MacDill Air Force Base: Phase 1B,"low salinity, estuarine wetlands, open water and uplands",,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,31.3,,27.82976,-82.47332,,R-043,Mix (estuarine and upland),Restoration,,,,,,,
,1998,Region 4,FL,Tampa Bay Estuary Program,Bartlett Park,low salinity tidal creek and wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,4,,27.74929,-82.63929,,R-044,Estuarine,Restoration,,,,,,,
,1998,Region 4,FL,Tampa Bay Estuary Program,Cypress Point Park Restoration,"Created tidal lagoons, replanting shoreline",,,,,,,,,,City of Tampa,SWFWMD,,,,,,,,,,,,,3,,27.95087,-82.5418,,R-045,Estuarine,Restoration,,,,,,,
,1998,Region 4,FL,Tampa Bay Estuary Program,Emerson Point: Phase 1,low salinity estuarine wetlands and estuarine wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,25,,27.53391,-82.63222,,R-046,Estuarine,Restoration,,,,,,,
,1998,Region 4,FL,Tampa Bay Estuary Program,Mangrove Bay: Phase 3,estuarine low salinity open water and wetlands,,,"Substrate modification, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,21,,27.83535,-82.6228,,R-047,Estuarine,Restoration,,,,,,,
,1998,Region 4,FL,Tampa Bay Estuary Program,Mobbly Bayou: Phase 1,low salinity estuarine open water and wetlands,,,"Substrate modification, planting",,,,200000,,,SWFWMD-SWIM,City of Oldsmar,,,,,,,,,,,,,14,,28.02614,-82.66208,,R-048,Estuarine,Restoration,,,,,,,
,1998,Region 4,FL,Tampa Bay Estuary Program,Skyway Jacks,planting of Spartina alterniflora,,,planting of Spartina alterniflora,,,,,,,FDNR,,,,,,,,,,,,,,1,,27.70596,-82.68081,,E-038,Estuarine,Enhancement,,,,,,,
,1998,Region 4,FL,Tampa Bay Estuary Program,Weedon Island,planting of Spartina alterniflora,,,,,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,0.1,,27.84698,-82.60949,,R-049,Estuarine,Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Boca Ciega: Phase 3,estuarine and freshwater wetlands,,,"Excavation, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,2.5,,27.8325,-82.81256,,R-050,Mix (estuarine and freshwater),Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Braden River: Phase 2 (SR70),estuarine wetlands - low salinity,,,"Excavation, planting",,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,10,,27.45025,-82.49113,,R-051,Estuarine,Restoration,,,,,,,
,1999,Region 4,FL,Tampa Bay Estuary Program,Cockroach Bay: Phase 1 Uplands,coastal uplands - mixed pine and harwood forest,,,Planting,,,,,,,SWFWMD-SWIM,,,,,,,,,,,,,,45,,27.68937,-82.50339,,R-052,Upland,Restoration,,,,,,,
