"View_Detail","Federal_Fiscal_Year","Region","State_Code","NEP_Name","Project_Name","Project_Description","Habitat_Description","Habitat_Type","Restoration_Technique","Donated_Land","Data_Unavailable","Total_Project_Cost","Project_Benefits","Activity_Name","Lead_Implementer","Partners","Main_Funding_Source","Site_Owner","Last_Updated_Date","NEP_Comments","HQ_Comments","HQ_Status","Region_Status","Author","Submitter_Email","PrimaryHabitat","SecondaryHabitat","EPA_Section_320","Acres","Miles","Latitude","Longitude","Feet","ID_Number","GeneralHabitat","GeneralActivity","BeforePhotoCredit","BeforePhotoCaption","DuringPhotoCredit","DuringPhotoCaption","AfterPhotoCredit","AfterPhotoCaption"
NA,1980,"Region 4","FL","Tampa Bay Estuary Program","Alafia Bank Sunken Island Extension-Phase 4","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,0.1,NA,27.84664,-82.41983,NA,"E-010","Estuarine","Maintenance","","","","","",""
NA,1980,"Region 4","FL","Tampa Bay Estuary Program","Channel A","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,2,NA,27.99911,-82.61671,NA,"E-011","Estuarine","Maintenance","","","","","",""
NA,1980,"Region 4","FL","Tampa Bay Estuary Program","E.G. Simmons Park","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,1.98,NA,27.7448,-82.47223,NA,"E-100","Estuarine","Maintenance","","","","","",""
NA,1985,"Region 4","FL","Tampa Bay Estuary Program","Spoil Island CMDA-2D","Planting of Spartina alterniflora","","","Planting of Spartina alterniflora","","","","","","TPA","","","","","","","","","","","","",NA,10,NA,27.87395,-82.43123,NA,"E-013","Estuarine","Maintenance","","","","","",""
NA,1986,"Region 4","FL","Tampa Bay Estuary Program","Hendry Delta","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,0.05,NA,27.62546,-82.56553,NA,"E-014","Estuarine","Maintenance","","","","","",""
NA,1986,"Region 4","FL","Tampa Bay Estuary Program","Pinellas Point","planting of Spartina alterniflora, red, white, and black mangroves","","","planting of Spartina alterniflora, red, white, and black mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.04,NA,27.70018,-82.65252,NA,"E-015","Estuarine","Maintenance","","","","","",""
NA,1986,"Region 4","FL","Tampa Bay Estuary Program","Regatta Point","planting of Spartina","","","planting of Spartina","","","","","","FDNR","","","","","","","","","","","","",NA,0.03,NA,27.51181,-82.57634,NA,"E-016","Estuarine","Maintenance","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Apollo Beach Seawall","planting of red mangroves","","","planting of red mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.01,NA,27.79598,-82.41983,NA,"E-017","Estuarine","Maintenance","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Hendry Delta","planting of Spartina alterniflora, red mangroves","","","planting of Spartina alterniflora, red mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.1,NA,27.65246,-82.56553,NA,"E-018","Estuarine","Maintenance","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Largo Narrows Park","planting of Spartina, mangroves","","","planting of Spartina, mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.15,NA,27.84134,-82.83925,NA,"E-019","Estuarine","Maintenance","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Little Bird Key/Boca Ceiga","planting of red mangroves","","","planting of red mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.02,NA,27.79297,-82.77787,NA,"E-020","Estuarine","Maintenance","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Peanut Lake Rotary Ditching","Restore tidal flushing","","","Rotary ditching","","","","","","FDER","","","","","","","","","","","","",NA,100,NA,27.623,-82.56174,NA,"R-001","Estuarine","Restoration","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Pinellas Point","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,0.03,NA,27.70018,-82.65252,NA,"E-021","Estuarine","Maintenance","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Port Manatee (SR 92)","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,0.05,NA,27.63472,-82.57302,NA,"E-022","Estuarine","Maintenance","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Rattlesnake Key (SR 96)","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,0.05,NA,27.5797,-82.60861,NA,"E-023","Estuarine","Maintenance","","","","","",""
NA,1987,"Region 4","FL","Tampa Bay Estuary Program","Regatta Point","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,0.01,NA,27.51181,-82.57634,NA,"E-024","Estuarine","Maintenance","","","","","",""
NA,1988,"Region 4","FL","Tampa Bay Estuary Program","Alafia Bank Bird Island","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,0.06,NA,27.84822,-82.40561,NA,"E-025","Estuarine","Maintenance","","","","","",""
NA,1988,"Region 4","FL","Tampa Bay Estuary Program","Hendry Delta","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,0.15,NA,27.62546,-82.56553,NA,"E-026","Estuarine","Maintenance","","","","","",""
NA,1988,"Region 4","FL","Tampa Bay Estuary Program","North Sunshine Skyway","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,0.05,NA,27.70147,-82.67827,NA,"E-027","Estuarine","Maintenance","","","","","",""
NA,1988,"Region 4","FL","Tampa Bay Estuary Program","Pinellas Point","planting of red mangroves","","","planting of red mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.05,NA,27.70018,-82.65252,NA,"E-028","Estuarine","Maintenance","","","","","",""
NA,1988,"Region 4","FL","Tampa Bay Estuary Program","Regatta Point","planting of Spartina alterniflora, white mangroves","","","planting of Spartina alterniflora, white mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.02,NA,27.51181,-82.57634,NA,"E-029","Estuarine","Maintenance","","","","","",""
NA,1989,"Region 4","FL","Tampa Bay Estuary Program","Alafia Bank Bird Island","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,0.2,NA,27.84976,-82.40566,NA,"E-030","Estuarine","Maintenance","","","","","",""
NA,1989,"Region 4","FL","Tampa Bay Estuary Program","Cabbagehead Bayou","cut berm breach to restore tidal flow to Cabbagehead Bayou","","","cut berm breach to restore tidal flow to Cabbagehead Bayou","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,50,NA,27.99818,-82.61724,NA,"R-002","Estuarine","Restoration","","","","","",""
NA,1989,"Region 4","FL","Tampa Bay Estuary Program","Hendry Delta Fill","estuarine wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,3,NA,27.62546,-82.56553,NA,"R-003","Estuarine","Restoration","","","","","",""
NA,1989,"Region 4","FL","Tampa Bay Estuary Program","Maximo Park","planting of Spartina alterniflora, red mangroves","","","planting of Spartina alterniflora, red mangroves","","","","","","FDNR","","","","","","","","","","","","",NA,0.05,NA,27.71004,-82.68367,NA,"E-031","Estuarine","Maintenance","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","Boca Ceiga (Milenum Park)","Excavation, planting of Spartina alterniflora","","","Excavation, planting of Spartina alterniflora","","","","","","FDNR","","","","","","","","","","","","",NA,2.5,NA,27.8325,-82.81256,NA,"R-004","Estuarine","Restoration","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","Delaney Pop-Off Canal","Intertidal creek restoration, removed spoil banks","","","Streambank grading, planting","","","","","","FDEP","","","","","","","","","","","","",NA,10,NA,27.88512,-82.40251,NA,"R-005","Estuarine","Restoration","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","E.G. Simmons Park: Phase 1","restoration of open water and estuarine wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,14,NA,27.7448,-82.47223,NA,"R-006","Estuarine","Restoration","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","Green Key","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,0.03,NA,27.81831,-82.39918,NA,"E-032","Estuarine","Maintenance","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","Joe's Creek Restoration: Phase 1","Rotary ditching, exotic removal, clearing and planting of Spartina alterniflora","","","Excavation, Invasive Removal – Vegetation, Planting of Spartina alterniflora","","","","","","FDER","","","","","","","","","","","","",NA,4.61,NA,27.83834,-82.75289,NA,"R-007","Estuarine","Restoration","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","Polanis Park","planting of Spartina alterniflora","","","Excavation, grading, planting of Spartina alterniflora, removal of invasives","","","","","","FDNR","","","","","","","","","","","","",NA,3.3,NA,27.89221,-82.5403,NA,"R-008","Estuarine","Restoration","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","South Bayshore Boulevard","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,1.5,NA,27.87472,-82.48678,NA,"E-033","Estuarine","Maintenance","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","Terra Ceia Bird Key - Nina Griffith Washburn Bird Sanctuary","planting of Spartina alterniflora","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,0.1,NA,27.55233,-82.60012,NA,"E-034","Estuarine","Maintenance","","","","","",""
NA,1990,"Region 4","FL","Tampa Bay Estuary Program","Whiskey Stump Key","planting of Spartina alterniflora, 2,000 units","","","planting of Spartina alterniflora","","","","","","Audubon of Florida","","","","","","","","","","","","",NA,0.5,NA,27.81302,-82.40247,NA,"E-115","Estuarine","Maintenance","","","","","",""
NA,1991,"Region 4","FL","Tampa Bay Estuary Program","Foch Lake","filling to shallow depth, dredged tidal channels, exotic removal","","","filling to shallow depth","","","","","","FDER","","","","","","","","","","","","",NA,3.9,NA,27.82653,-82.62078,NA,"R-009","Estuarine","Restoration","","","","","",""
NA,1991,"Region 4","FL","Tampa Bay Estuary Program","Joe's Creek Restoration: Phase 2","exotic removal, clearing and planting of Spartina alterniflora","","","Regrading, Invasive Removal – Vegetation, Planting of Spartina alterniflora","","","","","","FDER","","","","","","","","","","","","",NA,6.06,NA,27.83834,-82.75289,NA,"R-010","Estuarine","Restoration","","","","","",""
NA,1991,"Region 4","FL","Tampa Bay Estuary Program","Mangrove Bay: Phase 1","low salinity open water estuarine and wetlands and uplands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,13.5,NA,27.84259,-82.62981,NA,"R-011","Estuarine","Restoration","","","","","",""
NA,1991,"Region 4","FL","Tampa Bay Estuary Program","McKay Bay Northeast","low salinity esturaine wetlands and uplands","","","Substrate modification, planting","","","116775","","","SWFWMD-SWIM","City of Tampa","","","","","","","","","","","",NA,4,NA,27.95212,-82.4114,NA,"R-012","Estuarine","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Boca Ciega: Phase 1","low salinity open water and estuarine and freshwater wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,3.5,NA,27.8325,-82.81256,NA,"R-013","Mix (estuarine and freshwater)","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Gandy Park","Block planters with mangroves at shoreline","","","","","","0","","","Tampa Bay Estuary Program","","","","","","","","","","","","",NA,NA,NA,27.89038,-82.53945,100,"SEP-001","Estuarine","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Joe's Creek Restoration: Phase 3","exotic removal, clearing and planting of Spartina alterniflora","","","Invasive Removal – Vegetation, Planting of Spartina alterniflora","","","","","","FDER","","","","","","","","","","","","",NA,1.83,NA,27.83834,-82.75289,NA,"R-014","Estuarine","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Lake Tarpon Outfall Canal: Phase 1","estuarine/low salinity wetlands","","","Substrate modification, planting of Spartina","","","2000","","","SWFWMD-SWIM","Volunteers","","","","","","","","","","","",NA,1,NA,28.05315,-82.70892,NA,"R-015","Estuarine","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Little Bayou Habitat Restoration Project: Phase 1","Restoration of tidal creek","","","Excavation, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,3,NA,27.71901,-82.63769,NA,"R-016","Estuarine","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Lowry Park: Shoreline","Freshwater and low salinity wetlands","","","","","","18000","Substrate modification, planting","","SWFWMD-SWIM","FDEP, City of Tampa","","","","","","","","","","","",NA,NA,NA,28.01443,-82.46453,400,"LS-002","Estuarine","Maintenance","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Lowry Park: Spring","Freshwater and low salinity wetlands","","","Substrate modification, planting","","","18000","","","SWFWMD-SWIM","FDEP, City of Tampa","","","","","","","","","","","",NA,0.5,NA,28.01475,-82.4646,NA,"R-017","Estuarine","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Mangrove Bay Pit Filling","filling to shallow depth from 27 feet to 10 feet","","","","","","","","","FDEP","","","","","","","","","","","","",NA,20,NA,27.84259,-82.62981,NA,"R-018","Estuarine","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Mangrove Bay: Phase 2","estuarine wetlands, artificial reefs","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,0.5,NA,27.83979,-82.62582,NA,"R-019","Estuarine","Restoration","","","","","",""
NA,1992,"Region 4","FL","Tampa Bay Estuary Program","Port Manatee Parcel Restoration Project","Marsh and mangrove restoration, exotic plant removal, upland restoration","","","Exotic removal and restoration","","","","","","TECO","","","","","","","","","","","","",NA,700,NA,27.63472,-82.57302,NA,"E-036","Mix (estuarine, freshwater, and upland)","Maintenance","","","","","",""
NA,1993,"Region 4","FL","Tampa Bay Estuary Program","Boca Ciega: Phase 2","estuarine and freshwater wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,1,NA,27.8325,-82.81256,NA,"R-020","Mix (estuarine and freshwater)","Restoration","","","","","",""
NA,1993,"Region 4","FL","Tampa Bay Estuary Program","Freeman Park","Create tidal lagoon, enhanced hardened shoreline, Plantings of Spartina alterniflora, exotic removal","","","Excavation, planting of Spartina alterniflora, Exotic removal","","","","","","BAEAT","","","","","","","","","","","","",NA,7,NA,27.89221,-82.5403,NA,"R-021","Estuarine","Restoration","","","","","",""
NA,1993,"Region 4","FL","Tampa Bay Estuary Program","Hamilton Creek","Stream restoration and planting","","","","","","0","Stream restoration and planting","","SWFWMD-SWIM","","","","","","","","","","","","",NA,NA,NA,28.01371,-82.46536,250,"LS-003","Freshwater","Maintenance","","","","","",""
NA,1993,"Region 4","FL","Tampa Bay Estuary Program","Peanut Lake","estuarine, open water, and wetlands","","","Substrate modification, planting","","","","","","FDEP","","","","","","","","","","","","",NA,10,NA,27.62297,-82.55627,NA,"R-022","Estuarine","Restoration","","","","","",""
NA,1993,"Region 4","FL","Tampa Bay Estuary Program","Picnic Island","Living shoreline associated with larger wetland restoration effort","","","","","","0","Substrate modification, planting","","SWFWMD-SWIM","","","","","","","","","","","","",NA,NA,NA,27.85732,-82.55182,300,"LS-004","Estuarine","Restoration","","","","","",""
NA,1993,"Region 4","FL","Tampa Bay Estuary Program","Picnic Island","Estuarine open water and wetlands and uplands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,8,NA,27.85288,-82.5527,NA,"R-023","Estuarine","Restoration","","","","","",""
NA,1994,"Region 4","FL","Tampa Bay Estuary Program","Al Lopez Park","planting of freshwater wetlands","","","planting of freshwater wetlands","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,2,NA,27.99093,-82.50309,NA,"R-024","Freshwater","Restoration","","","","","",""
NA,1994,"Region 4","FL","Tampa Bay Estuary Program","Harbor Palms Park","low salinity estuarine wetlands and open water and stormwater polishing","","","Substrate modification, planting","","","118541","","","SWFWMD-SWIM","City of Oldsmar","","","","","","","","","","","",NA,4.4,NA,28.03928,-82.69337,NA,"R-025","Estuarine","Restoration","","","","","",""
NA,1994,"Region 4","FL","Tampa Bay Estuary Program","Howard Frankland East","estuarine wetlands and fringing uplands","","","","","","60000","","","SWFWMD-SWIM","FDOT","","","","","","","","","","","",NA,3,NA,27.94214,-82.54567,NA,"R-026","Estuarine","Restoration","","","","","",""
NA,1994,"Region 4","FL","Tampa Bay Estuary Program","Jungle Prada Park","estuarine wetlands and open water habitat","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,1,NA,27.7874,-82.75363,NA,"R-027","Estuarine","Restoration","","","","","",""
NA,1994,"Region 4","FL","Tampa Bay Estuary Program","MacDill Air Force Base: Phase 1A","low salinity, estuarine wetlands, open water and uplands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,3,NA,27.82976,-82.47662,NA,"R-028","Mix (estuarine and upland)","Restoration","","","","","",""
NA,1994,"Region 4","FL","Tampa Bay Estuary Program","Terra Ceia Causeway","estuarine wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,2.2,NA,27.56873,-82.57104,NA,"R-029","Estuarine","Restoration","","","","","",""
NA,1995,"Region 4","FL","Tampa Bay Estuary Program","Ballast Point","restoration of estuarine wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,0.5,NA,27.88898,-82.48064,NA,"R-030","Estuarine","Restoration","","","","","",""
NA,1995,"Region 4","FL","Tampa Bay Estuary Program","Cargill South Parcel","Coastal Habitat Restoration, Brazilian Pepper Removal, Re-established south channel of Alafia River","","","Canal Dredging, Planting of Spartina alterniflora","","","","","","FDEP","","","","","","","","","","","","",NA,50,NA,27.84223,-82.39007,NA,"R-031","Estuarine","Restoration","","","","","",""
NA,1995,"Region 4","FL","Tampa Bay Estuary Program","Clam Bayou (Osgood Point): Phase 1","estuarine, open water, and wetlands","","","Substrate modification, planting of Spartina","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,10,NA,27.73806,-82.69146,NA,"R-032","Estuarine","Restoration","","","","","",""
NA,1995,"Region 4","FL","Tampa Bay Estuary Program","Joe's Creek: Phase 1A","estuarine and low salinity wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,0.5,NA,27.83192,-82.7544,NA,"R-033","Estuarine","Restoration","","","","","",""
NA,1995,"Region 4","FL","Tampa Bay Estuary Program","Jungle Lake Restoration","Re-countouring of area, Exotic removal, planting of native species","","","","","","","","","City of St. Petersburg","","","","","","","","","","","","",NA,35,NA,27.79701,-82.74555,NA,"R-034","Freshwater","Restoration","","","","","",""
NA,1995,"Region 4","FL","Tampa Bay Estuary Program","Lake Tarpon Outfall Canal: Phase 2","estuarine/low salinity wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","Volunteers","","","","","","","","","","","",NA,1,NA,28.05315,-82.70892,NA,"R-035","Estuarine","Restoration","","","","","",""
NA,1995,"Region 4","FL","Tampa Bay Estuary Program","Long/Cross Bayou","estuarine wetlands - low salinity","","","estuarine wetlands - low salinity, Spartina alterniflora","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,2,NA,27.8305,-82.75461,NA,"R-036","Estuarine","Restoration","","","","","",""
NA,1996,"Region 4","FL","Tampa Bay Estuary Program","Allen's Creek at St. Paul's Drive","estuarine wetlands - low salinity","","","Substrate modification, planting","","","40000","","","SWFWMD-SWIM","Pinellas County","","","","","","","","","","","",NA,1,NA,27.93158,-82.75393,NA,"R-037","Estuarine","Restoration","","","","","",""
NA,1996,"Region 4","FL","Tampa Bay Estuary Program","Cockroach Bay: Phase 1B2","tidal creek system with marshes","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,18.5,NA,27.6846,-82.49936,NA,"R-038","Estuarine","Restoration","","","","","",""
NA,1997,"Region 4","FL","Tampa Bay Estuary Program","Abercrombie Park","Exotic removal, planting of native species","","","","","","","","","City of St. Petersburg Parks Department","","","","","","","","","","","","",NA,11,NA,27.80624,-82.75694,NA,"E-037","Uplands","Maintenance","","","","","",""
NA,1997,"Region 4","FL","Tampa Bay Estuary Program","Cockroach Bay: Phase 1A1","create estuarine open water channels, lagoon, marshes, and some uplands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,37.2,NA,27.69246,-82.51073,NA,"R-039","Mix (estuarine and upland)","Restoration","","","","","",""
NA,1997,"Region 4","FL","Tampa Bay Estuary Program","Cockroach Bay: Phase 1B","freshwater and low salinity wetlands that also provide stormwater treatment","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,24.5,NA,27.68614,-82.49926,NA,"R-040","Mix (estuarine and freshwater)","Restoration","","","","","",""
NA,1997,"Region 4","FL","Tampa Bay Estuary Program","Del Oro Park","low salinity esturine wetlands","","","Excavation, planting","","","30000","","","SWFWMD-SWIM","City of Clearwater","","","","","","","","","","","",NA,1,NA,27.97044,-82.70532,NA,"R-041","Estuarine","Restoration","","","","","",""
NA,1997,"Region 4","FL","Tampa Bay Estuary Program","Epps Park Shoreline Restoration","Hillsborough River shoreline protection and restoration, planting, rip rap placement","","","","","","0","Freshwater wetlands","","City of Tampa","SWFWMD","","","","","","","","","","","",NA,NA,NA,28.00542,-82.46778,250,"LS-005","Freshwater","Restoration","","","","","",""
NA,1997,"Region 4","FL","Tampa Bay Estuary Program","Epps Park Shoreline Restoration","Hillsborough River shoreline protection and restoration, planting, rip rap placement, associated with living shoreline project","","","Freshwater wetlands","","","","","","City of Tampa","SWFWMD","","","","","","","","","","","",NA,1,NA,28.00504,-82.4677,NA,"R-042","Freshwater","Restoration","","","","","",""
NA,1997,"Region 4","FL","Tampa Bay Estuary Program","MacDill Air Force Base: Phase 1B","low salinity, estuarine wetlands, open water and uplands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,31.3,NA,27.82976,-82.47332,NA,"R-043","Mix (estuarine and upland)","Restoration","","","","","",""
NA,1998,"Region 4","FL","Tampa Bay Estuary Program","Bartlett Park","low salinity tidal creek and wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,4,NA,27.74929,-82.63929,NA,"R-044","Estuarine","Restoration","","","","","",""
NA,1998,"Region 4","FL","Tampa Bay Estuary Program","Cypress Point Park Restoration","Created tidal lagoons, replanting shoreline","","","","","","","","","City of Tampa","SWFWMD","","","","","","","","","","","",NA,3,NA,27.95087,-82.5418,NA,"R-045","Estuarine","Restoration","","","","","",""
NA,1998,"Region 4","FL","Tampa Bay Estuary Program","Emerson Point: Phase 1","low salinity estuarine wetlands and estuarine wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,25,NA,27.53391,-82.63222,NA,"R-046","Estuarine","Restoration","","","","","",""
NA,1998,"Region 4","FL","Tampa Bay Estuary Program","Mangrove Bay: Phase 3","estuarine low salinity open water and wetlands","","","Substrate modification, planting","","","","","","SWFWMD-SWIM","","","","","","","","","","","","",NA,21,NA,27.83535,-82.6228,NA,"R-047","Estuarine","Restoration","","","","","",""
